name,location,datetime,followers,likes,retweets,tweet
FREDLEEJOHNSON2,,18-03-2022 05:42,208,0,8,"RT @WIRED: WIRED
Excellent performance. Easy setup. Relatively compact. Plenty of ports. Up to 8 terabytes of storage. 

TIRED
Expensive. A…"
suckyourreality,,18-03-2022 05:38,144,0,8,"RT @WIRED: WIRED
Excellent performance. Easy setup. Relatively compact. Plenty of ports. Up to 8 terabytes of storage. 

TIRED
Expensive. A…"
albertc1887,Seychelles ,18-03-2022 05:34,307,0,8,"RT @WIRED: WIRED
Excellent performance. Easy setup. Relatively compact. Plenty of ports. Up to 8 terabytes of storage. 

TIRED
Expensive. A…"
WIRED,San Francisco/New York,18-03-2022 05:32,10266357,21,8,"WIRED
Excellent performance. Easy setup. Relatively compact. Plenty of ports. Up to 8 terabytes of storage. 

TIRED… https://t.co/uSDd4mq0ji"
dreyesceron,DC,18-03-2022 20:47,2233,3,0,"also, did not order the Studio Display. 

With such a long lead-in time for the new Mac to get here, Ill take my t… https://t.co/Zw72SU2dl5"
ObviouslyPurple,oʇuoɹoʇ,18-03-2022 20:18,3126,2,0,"@Jalenzz16 @TinyFlairr 😬 I had my Mac ON the whole day yesterday with studio files open, unfinished projects. Turne… https://t.co/v8XXPXarWp"
Cookiedropz,"Fort Collins, CO",18-03-2022 20:05,154,0,0,"Straight insanity. Now can speak on it, been testing the Mac Studio and decided to test some games like WoW and god… https://t.co/Oo8U4im6Y0"
html5test,The Netherlands,18-03-2022 19:57,7471,0,0,"@giovannipuntil I bought it to try out. Going to buy a Mac Studio soon, so I figured I could try it out on my PC an… https://t.co/TohQaBoemc"
thegaybrigades,Land of the Gays,18-03-2022 19:29,416,0,0,"i thought about getting the mac studio, but after i added it to my cart, apple asked if i wanted to add the monitor… https://t.co/2rGP93v5Eu"
JonKHuff,Utah,18-03-2022 19:26,31,1,0,"@nuwnjay But now that the “really good” desktop doesn’t have a built in monitor, more Mac buyers are going to look… https://t.co/PK8bYMOe37"
mikeperone,New Jersey,18-03-2022 19:22,102,0,2,"RT @leolaporte: At 12:20p Pacific, @mikahsargent and I will unbox our new Mac Studio with the M1 Ultra plus the Studio Monitor. Let’s see h…"
philliptombs,"Kansas, USA",18-03-2022 19:16,196,0,2,"RT @leolaporte: At 12:20p Pacific, @mikahsargent and I will unbox our new Mac Studio with the M1 Ultra plus the Studio Monitor. Let’s see h…"
leolaporte,"Petaluma, CA USA",18-03-2022 19:13,519831,21,2,"At 12:20p Pacific, @mikahsargent and I will unbox our new Mac Studio with the M1 Ultra plus the Studio Monitor. Let… https://t.co/Hi8L3ezqIU"
PhilWaymouth,Seattle,18-03-2022 19:05,1101,3,0,"Remarkable. Everything Apple makes is now the same device, just with a different thermal envelope and a different s… https://t.co/3eY4vAHokU"
JJTwyford,"Summerland, British Columbia",18-03-2022 17:59,36,1,0,@JohnM_Smit That Mac studio would go better with my Pro Display XDR. The monitor could have been better.
alex__presa,Toronto,18-03-2022 16:39,387,2,0,@imPatrickT but can you slide the mac studio underneath the monitor with the burger on top?
alexanderTernst,"Zurich, Switzerland",18-03-2022 16:27,749,3,0,Mac Studio I already have a budget 4k Monitor and its more than good enough https://t.co/RSpTR9tu9U
_WEPSY_,in ,18-03-2022 15:50,33,0,5,RT @WIRED: This ultra-powerful Mac Studio desktop and Studio Display monitor make for one hell of a combo. WIREDs Brenda Stolyar breaks do…
Noname6,,18-03-2022 15:49,330,0,1,RT @WIRED: This ultra-powerful Mac Studio desktop and Studio Display monitor make for one hell of a combo. WIREDs Brenda Stolyar breaks do…
planetofgori,Japan,11-03-2022 23:56,16389,6,0,M1 Ultra搭載Mac Studio、64コアGPUのOpenCLスコアはM1 Maxの1.5倍 https://t.co/WYwQSvomEe
DocyOcky,"Hastings, England",11-03-2022 23:54,86,0,0,"@BasicAppleGuy To be honest, I am not even sure why they released that. The Mac Pro is the most expensive and altho… https://t.co/m8r6KQjwWK"
HateStupidLOL1,,11-03-2022 23:45,10,0,6302,"RT @livedoornews: 【#AppleEvent】iPhone SE(第3世代)発表、5G対応でTouch ID内蔵のホームボタン搭載
https://t.co/gXlqsaTAT1

このほか、iPhone13 Proにアルパイングリーン、iPhone 13にグリ…"
IIMustangII1151,"Massachusetts, USA",11-03-2022 23:38,151,0,0,"MacMagazine no Ar #466: “Peek performance”, Mac Studio, Studio Display, M1 Ultra, novos iPhones SE e iPad Air, iPho… https://t.co/OfdXESjAWc"
MacMagazine,Brasil,11-03-2022 23:33,101101,13,1,"MacMagazine no Ar #466: Peek performance, Mac Studio, Studio Display, M1 Ultra, novos iPhones SE e iPad Air, iPho… https://t.co/AZJnBGr1w5"
MarcTech1996,Germany,11-03-2022 23:29,74,4,0,"@Impulse_19 @LukeMiani the Mac Studio now which doesn’t have the thermal constraints that an iMac would face, espec… https://t.co/Sd5tMTeN65"
EMatum0t0,,11-03-2022 23:11,395,0,166,"RT @suginomakoto1: 『Mac Studio』
20コアCPU
64コアGPU
32コアNeural Engine搭載Apple M1 Ultra
128GBユニファイドメモリ
1TB SSDストレージ

『Apple Studio Display』
Nano-…"
